_step,train/loss,train/lm_loss,train/perplexity,val/loss,lr
1,11.689359664916992,11.689359664916992,119295.59375,,1.4285714285714286e-06
2,11.590357780456543,11.590357780456543,108050.90625,,2.8571428571428573e-06
3,11.485527038574219,11.485527038574219,97297.359375,,4.2857142857142855e-06
4,11.036980628967285,11.036980628967285,62129.77734375,,5.7142857142857145e-06
5,9.966507911682129,9.966507911682129,21300.970703125,,7.1428571428571436e-06
6,10.016337394714355,10.016337394714355,22389.27734375,,8.571428571428571e-06
7,9.047501564025879,9.047501564025879,8497.28125,,1e-05
8,8.588663101196289,8.588663101196289,5370.4287109375,,9.999952535540743e-06
9,7.79796028137207,7.79796028137207,2435.62890625,,9.999810143064122e-06
10,7.1532816886901855,7.1532816886901855,1278.2940673828125,,9.999572825273569e-06
11,7.545554161071777,7.545554161071777,1892.31103515625,,9.999240586674749e-06
12,7.142588138580322,7.142588138580322,1264.697265625,,9.99881343357547e-06
13,7.063425540924072,7.063425540924072,1168.4407958984375,,9.99829137408557e-06
14,6.40920352935791,6.40920352935791,607.4097290039062,,9.997674418116759e-06
15,6.168171405792236,6.168171405792236,477.3125,,9.996962577382428e-06
16,6.643054008483887,6.643054008483887,767.4351806640625,,9.99615586539743e-06
17,6.821534156799316,6.821534156799316,917.391357421875,,9.995254297477827e-06
18,5.706478118896484,5.706478118896484,300.8097839355469,,9.99425789074059e-06
19,5.668429851531982,5.668429851531982,289.5794677734375,,9.993166664103283e-06
20,5.94792366027832,5.94792366027832,382.9573669433594,,9.9919806382837e-06
21,6.0046539306640625,6.0046539306640625,405.31072998046875,,9.99069983579947e-06
22,5.64900541305542,5.64900541305542,284.00885009765625,,9.98932428096763e-06
23,5.272477626800537,5.272477626800537,194.89825439453125,,9.987853999904169e-06
24,5.694490909576416,5.694490909576416,297.2254333496094,,9.986289020523525e-06
25,5.452319622039795,5.452319622039795,233.29872131347656,,9.984629372538055e-06
26,4.967878341674805,4.967878341674805,143.7216339111328,,9.98287508745748e-06
27,5.115957260131836,5.115957260131836,166.66024780273438,,9.981026198588276e-06
28,4.925436019897461,4.925436019897461,137.7493896484375,,9.979082741033047e-06
29,4.569538593292236,4.569538593292236,96.49957275390625,,9.977044751689858e-06
30,5.038280963897705,5.038280963897705,154.20469665527344,,9.974912269251534e-06
31,4.7485833168029785,4.7485833168029785,115.420654296875,,9.972685334204926e-06
32,4.799561500549316,4.799561500549316,121.45714569091797,,9.970363988830138e-06
33,4.417757987976074,4.417757987976074,82.91018676757812,,9.967948277199736e-06
34,4.6901535987854,4.6901535987854,108.86990356445312,,9.965438245177895e-06
35,4.179736614227295,4.179736614227295,65.34864044189453,,9.96283394041954e-06
36,4.854368686676025,4.854368686676025,128.29966735839844,,9.960135412369441e-06
37,4.992672443389893,4.992672443389893,147.3296356201172,,9.957342712261263e-06
38,4.675904273986816,4.675904273986816,107.32957458496094,,9.95445589311661e-06
39,4.800896644592285,4.800896644592285,121.61942291259766,,9.951475009744006e-06
40,4.718963146209717,4.718963146209717,112.05201721191406,,9.948400118737856e-06
41,4.639535903930664,4.639535903930664,103.49630737304688,,9.945231278477374e-06
42,4.048642635345459,4.048642635345459,57.31959915161133,,9.941968549125481e-06
43,4.585780143737793,4.585780143737793,98.07966613769531,,9.938611992627647e-06
44,4.943650722503662,4.943650722503662,140.2814483642578,,9.935161672710728e-06
45,4.649480819702148,4.649480819702148,104.53070068359375,,9.931617654881753e-06
46,4.683601379394531,4.683601379394531,108.15888977050781,,9.927980006426677e-06
47,4.312432289123535,4.312432289123535,74.62176513671875,,9.924248796409107e-06
48,4.402382850646973,4.402382850646973,81.64518737792969,,9.920424095668988e-06
49,4.954346656799316,4.954346656799316,141.78993225097656,,9.916505976821262e-06
