_step,train/loss,train/lm_loss,train/perplexity,val/loss,lr,train/prior_loss
1,8.546483993530273,8.546483993530273,5095.91162109375,,1.4285714285714286e-06,0.20579677820205688
2,8.303338050842285,8.303338050842285,3995.099609375,,2.8571428571428573e-06,0.2102757692337036
3,8.551347732543945,8.551347732543945,5119.66845703125,,4.2857142857142855e-06,0.2100631445646286
4,8.274931907653809,8.274931907653809,3883.014892578125,,5.7142857142857145e-06,0.21130315959453583
5,7.96343469619751,7.96343469619751,2844.064697265625,,7.1428571428571436e-06,0.20890295505523682
6,7.245162487030029,7.245162487030029,1387.49169921875,,8.571428571428571e-06,0.1981929987668991
7,6.078714847564697,6.078714847564697,431.8894348144531,,1e-05,0.21090814471244812
8,6.188404083251953,6.188404083251953,482.1329040527344,,9.999952535540743e-06,0.20369026064872742
9,5.648437023162842,5.648437023162842,281.033935546875,,9.999810143064122e-06,0.1992359608411789
10,5.729215621948242,5.729215621948242,304.6104431152344,,9.999572825273569e-06,0.2036406397819519
11,6.0065598487854,6.0065598487854,402.154052734375,,9.999240586674749e-06,0.1944936215877533
12,5.539492130279541,5.539492130279541,251.92657470703125,,9.99881343357547e-06,0.2070900797843933
13,4.9047980308532715,4.9047980308532715,133.64797973632812,,9.99829137408557e-06,0.19177572429180145
14,5.041301727294922,5.041301727294922,153.20361328125,,9.997674418116759e-06,0.19067494571208954
15,4.427159309387207,4.427159309387207,82.91315460205078,,9.996962577382428e-06,0.18731075525283813
16,4.866713047027588,4.866713047027588,128.64898681640625,,9.99615586539743e-06,0.19250431656837463
17,4.679939270019531,4.679939270019531,106.75928497314453,,9.995254297477827e-06,0.18725863099098206
18,4.5424933433532715,4.5424933433532715,93.0156021118164,,9.99425789074059e-06,0.1945229023694992
19,4.849716663360596,4.849716663360596,126.53675079345703,,9.993166664103283e-06,0.18368159234523773
20,4.37966775894165,4.37966775894165,79.07815551757812,,9.9919806382837e-06,0.18461941182613373
21,4.039175987243652,4.039175987243652,56.27922439575195,,9.99069983579947e-06,0.17700885236263275
22,4.208785533905029,4.208785533905029,66.65306854248047,,9.98932428096763e-06,0.1856912076473236
23,4.4578166007995605,4.4578166007995605,85.5767593383789,,9.987853999904169e-06,0.16805467009544373
24,4.334331035614014,4.334331035614014,75.61148834228516,,9.986289020523525e-06,0.1744546741247177
25,4.281005382537842,4.281005382537842,71.71119689941406,,9.984629372538055e-06,0.16716840863227844
26,4.4843597412109375,4.4843597412109375,87.84400177001953,,9.98287508745748e-06,0.17594242095947266
27,3.976620674133301,3.976620674133301,52.8790168762207,,9.981026198588276e-06,0.1722801923751831
28,4.0683135986328125,4.0683135986328125,57.98008728027344,,9.979082741033047e-06,0.1642765998840332
29,3.5771613121032715,3.5771613121032715,35.46852493286133,,9.977044751689858e-06,0.17031201720237732
30,3.9617667198181152,3.9617667198181152,52.104339599609375,,9.974912269251534e-06,0.17037123441696167
31,3.851356267929077,3.851356267929077,46.64891815185547,,9.972685334204926e-06,0.17413264513015747
32,3.817162036895752,3.817162036895752,45.085269927978516,,9.970363988830138e-06,0.17212897539138794
33,3.7458367347717285,3.7458367347717285,41.98378372192383,,9.967948277199736e-06,0.17106464505195618
34,3.665445327758789,3.665445327758789,38.74982452392578,,9.965438245177895e-06,0.16638457775115967
35,3.552900552749634,3.552900552749634,34.61959457397461,,9.96283394041954e-06,0.16961459815502167
36,3.8575453758239746,3.8575453758239746,46.965003967285156,,9.960135412369441e-06,0.16285556554794312
37,3.8481030464172363,3.8481030464172363,46.525447845458984,,9.957342712261263e-06,0.1620728224515915
38,3.948370933532715,3.948370933532715,51.432373046875,,9.95445589311661e-06,0.16206438839435577
39,3.4254941940307617,3.4254941940307617,30.484785079956055,,9.951475009744006e-06,0.1653282642364502
40,3.5458426475524902,3.5458426475524902,34.38672637939453,,9.948400118737856e-06,0.1634397655725479
41,3.4758148193359375,3.4758148193359375,32.05973434448242,,9.945231278477374e-06,0.16428004205226898
42,3.3917713165283203,3.3917713165283203,29.478178024291992,,9.941968549125481e-06,0.16242004930973053
43,3.4947190284729004,3.4947190284729004,32.68231964111328,,9.938611992627647e-06,0.15769508481025696
44,3.481231451034546,3.481231451034546,32.24419021606445,,9.935161672710728e-06,0.15787111222743988
45,3.4336371421813965,3.4336371421813965,30.745189666748047,,9.931617654881753e-06,0.1580715924501419
46,3.5706522464752197,3.5706522464752197,35.255680084228516,,9.927980006426677e-06,0.16051475703716278
47,3.617323875427246,3.617323875427246,36.94599533081055,,9.924248796409107e-06,0.1573341339826584
48,3.2815685272216797,3.2815685272216797,26.408634185791016,,9.920424095668988e-06,0.15755179524421692
49,3.4370522499084473,3.4370522499084473,30.861286163330078,,9.916505976821262e-06,0.1509956419467926
50,3.470938205718994,3.470938205718994,31.92233657836914,,9.912494514254487e-06,0.1526445746421814
51,3.584994077682495,3.584994077682495,35.76290512084961,,9.908389784129424e-06,0.16165965795516968
52,3.7077414989471436,3.7077414989471436,40.458255767822266,,9.904191864377588e-06,0.14941591024398804
53,3.0830252170562744,3.0830252170562744,21.664003372192383,,9.899900834699778e-06,0.1474611461162567
54,3.572244882583618,3.572244882583618,35.338260650634766,,9.895516776564555e-06,0.14557363092899323
55,3.1377503871917725,3.1377503871917725,22.879093170166016,,9.891039773206698e-06,0.1505393087863922
56,3.1414542198181152,3.1414542198181152,22.96920394897461,,9.886469909625624e-06,0.14599747955799103
57,3.1688451766967773,3.1688451766967773,23.60336685180664,,9.881807272583776e-06,0.14911465346813202
58,3.6163201332092285,3.6163201332092285,36.9315185546875,,9.877051950604972e-06,0.1450948566198349
59,3.398392915725708,3.398392915725708,29.685710906982422,,9.872204033972727e-06,0.154544860124588
60,3.5260300636291504,3.5260300636291504,33.74589920043945,,9.867263614728535e-06,0.14342254400253296
61,3.387078285217285,3.387078285217285,29.378185272216797,,9.862230786670129e-06,0.1365179419517517
62,3.1310784816741943,3.1310784816741943,22.734758377075195,,9.857105645349694e-06,0.14367154240608215
63,3.053694009780884,3.053694009780884,21.04786491394043,,9.851888288072053e-06,0.13789649307727814
64,2.9780547618865967,2.9780547618865967,19.514169692993164,,9.846578813892827e-06,0.13827812671661377
65,3.337045669555664,3.337045669555664,27.929603576660156,,9.841177323616539e-06,0.14716944098472595
