_step,train/loss,train/lm_loss,val/loss
1,17.869386672973633,17.851390838623047,
2,17.8909912109375,17.873018264770508,
3,17.434450149536133,17.4165096282959,
4,15.626349449157715,15.608386039733887,
5,14.370386123657227,14.352269172668457,
6,13.072854995727539,13.05447769165039,
7,14.207810401916504,14.189114570617676,
8,16.175220489501953,16.15677833557129,
9,14.567581176757812,14.549153327941895,
10,12.582090377807617,12.56337833404541,
11,12.022760391235352,12.003778457641602,
12,11.357532501220703,11.337821960449219,
13,11.608861923217773,11.588251113891602,
14,11.678025245666504,11.65722942352295,
15,11.989805221557617,11.970025062561035,
16,12.250575065612793,12.233054161071777,
17,11.98086929321289,11.963854789733887,
18,10.952796936035156,10.936589241027832,
19,10.899820327758789,10.884284973144531,
20,10.832554817199707,10.817480087280273,
21,10.755195617675781,10.740458488464355,
22,9.550886154174805,9.536526679992676,
23,10.015332221984863,10.001482009887695,
24,9.741999626159668,9.727968215942383,
25,10.507198333740234,10.493498802185059,
26,9.576513290405273,9.563876152038574,
27,10.631011962890625,10.618432998657227,
28,9.485211372375488,9.473733901977539,
29,9.250128746032715,9.239283561706543,
30,9.454116821289062,9.442885398864746,
31,9.114234924316406,9.102568626403809,
32,8.83459186553955,8.82423210144043,
33,8.59445571899414,8.584721565246582,
34,9.056865692138672,9.04721450805664,
35,8.56725788116455,8.557263374328613,
36,8.38774299621582,8.378579139709473,
37,9.595505714416504,9.585448265075684,
38,8.536627769470215,8.527552604675293,
39,8.803790092468262,8.79478645324707,
40,8.650152206420898,8.641270637512207,
41,8.243199348449707,8.234628677368164,
42,9.017779350280762,9.009200096130371,
43,8.815013885498047,8.806198120117188,
44,8.288753509521484,8.280357360839844,
45,8.39626407623291,8.387557029724121,
46,8.643230438232422,8.634880065917969,
47,7.88724422454834,7.878988265991211,
48,8.920022010803223,8.911234855651855,
49,8.504178047180176,8.495851516723633,
50,7.651769638061523,7.643645286560059,
51,8.559611320495605,8.550983428955078,
52,7.921309947967529,7.9132490158081055,
53,8.459425926208496,8.451189041137695,
54,8.247320175170898,8.239134788513184,
55,7.978684425354004,7.970603942871094,
56,7.79996395111084,7.791966438293457,
57,6.958258628845215,6.950221061706543,
58,7.29683780670166,7.288787364959717,
59,7.757155418395996,7.74899959564209,
60,8.323796272277832,8.315751075744629,
61,8.13630199432373,8.128129005432129,
62,7.8901448249816895,7.88215970993042,
63,6.758908748626709,6.750899314880371,
64,8.58899974822998,8.580304145812988,
65,8.402505874633789,8.393948554992676,
66,7.673117160797119,7.665163993835449,
67,8.392812728881836,8.384394645690918,
68,7.053646564483643,7.045710563659668,
69,8.287915229797363,8.279845237731934,
70,8.561219215393066,8.553119659423828,
71,6.413437366485596,6.4053955078125,
72,7.484786033630371,7.47679328918457,
73,7.097165107727051,7.089205265045166,
74,7.327329158782959,7.319399833679199,
75,6.563296794891357,6.555256366729736,
76,7.733607769012451,7.725472450256348,
77,8.036587715148926,8.028643608093262,
78,6.8454270362854,6.837375164031982,
79,8.0892333984375,8.081124305725098,
80,7.395786285400391,7.387862205505371,
81,8.296353340148926,8.288119316101074,
82,6.892220497131348,6.8842597007751465,
83,7.774453163146973,7.766420364379883,
84,6.520517349243164,6.512578010559082,
85,6.884774684906006,6.876774787902832,
86,8.0310640335083,8.022981643676758,
87,7.219182014465332,7.211257457733154,
88,7.035457134246826,7.027508735656738,
89,6.454655647277832,6.446683406829834,
90,7.274318695068359,7.2663445472717285,
91,7.284757137298584,7.276829242706299,
92,7.030488967895508,7.02255916595459,
93,7.782837867736816,7.774795055389404,
94,7.487165451049805,7.479184627532959,
95,7.5186991691589355,7.510677337646484,
96,6.637101173400879,6.628693580627441,
97,7.546762466430664,7.538706302642822,
98,7.638388156890869,7.630218029022217,
99,6.926546573638916,6.918532848358154,
100,6.837169170379639,6.8291778564453125,
101,7.165405750274658,7.157404899597168,
102,7.937500953674316,7.929450988769531,
103,6.537680149078369,6.529646396636963,
104,7.165757656097412,7.15768575668335,
105,6.459064483642578,6.451016426086426,
106,6.941869258880615,6.933794975280762,
107,6.869287967681885,6.861205101013184,
108,6.85369873046875,6.845221996307373,
109,6.153672695159912,6.145445823669434,
110,6.261280536651611,6.252967834472656,
111,7.020449161529541,7.0120530128479,
112,7.26790189743042,7.259415149688721,
113,6.79704475402832,6.788515567779541,
114,7.10404109954834,7.095447063446045,
115,6.005061149597168,5.996631622314453,
116,6.464866638183594,6.456254959106445,
117,7.278030872344971,7.269266605377197,
118,6.681883811950684,6.671632766723633,
119,6.448044776916504,6.438767910003662,
120,6.014353275299072,6.00462532043457,
121,7.223727703094482,7.213291645050049,
122,6.35095739364624,6.34089469909668,
123,6.680859565734863,6.671073913574219,
124,7.89679479598999,7.885207653045654,
125,7.529236793518066,7.517892360687256,
126,6.958040237426758,6.948120594024658,
127,6.977771759033203,6.967748165130615,
128,7.140957355499268,7.1298065185546875,
129,6.871556282043457,6.860353469848633,
130,7.049659729003906,7.038106918334961,
131,6.364903926849365,6.354778289794922,
132,6.550852298736572,6.54063081741333,
133,7.154606819152832,7.142796516418457,
