_step,train/loss,train/lm_loss,train/perplexity,val/loss,lr,train/prior_loss
1,8.583752632141113,8.583752632141113,5289.392578125,,1.4285714285714286e-06,0.20587515830993652
2,8.58508014678955,8.58508014678955,5296.0302734375,,2.8571428571428573e-06,0.2073439359664917
3,8.30571460723877,8.30571460723877,4003.055419921875,,4.2857142857142855e-06,0.2180320918560028
4,8.23764705657959,8.23764705657959,3740.67822265625,,5.7142857142857145e-06,0.2125028669834137
5,7.816481113433838,7.816481113433838,2455.728271484375,,7.1428571428571436e-06,0.20605361461639404
6,7.739265441894531,7.739265441894531,2273.906982421875,,8.571428571428571e-06,0.2002127766609192
7,6.521644115447998,6.521644115447998,672.8530883789062,,1e-05,0.20234064757823944
8,6.384762287139893,6.384762287139893,586.5391845703125,,9.999952535540743e-06,0.2104523479938507
9,5.9043402671813965,5.9043402671813965,362.8507080078125,,9.999810143064122e-06,0.20698043704032898
10,6.015942573547363,6.015942573547363,405.6449890136719,,9.999572825273569e-06,0.20928844809532166
11,5.757711887359619,5.757711887359619,313.55950927734375,,9.999240586674749e-06,0.1944567859172821
12,4.938628196716309,4.938628196716309,138.25437927246094,,9.99881343357547e-06,0.1906585693359375
13,5.129247665405273,5.129247665405273,167.26986694335938,,9.99829137408557e-06,0.19278734922409058
14,4.903040885925293,4.903040885925293,133.42835998535156,,9.997674418116759e-06,0.18952763080596924
15,5.009637355804443,5.009637355804443,148.50901794433594,,9.996962577382428e-06,0.17983196675777435
16,5.010843753814697,5.010843753814697,148.6770782470703,,9.99615586539743e-06,0.18134090304374695
17,4.511410236358643,4.511410236358643,90.18748474121094,,9.995254297477827e-06,0.190394327044487
18,4.708444118499756,4.708444118499756,109.90218353271484,,9.99425789074059e-06,0.17707036435604095
19,4.851175785064697,4.851175785064697,126.77034759521484,,9.993166664103283e-06,0.17597351968288422
20,4.617483615875244,4.617483615875244,100.36228942871094,,9.9919806382837e-06,0.17394396662712097
21,4.5299787521362305,4.5299787521362305,91.97653198242188,,9.99069983579947e-06,0.1689060926437378
22,4.353171348571777,4.353171348571777,77.0787124633789,,9.98932428096763e-06,0.16688255965709686
23,4.248648166656494,4.248648166656494,69.4253158569336,,9.987853999904169e-06,0.1679362654685974
24,4.058744430541992,4.058744430541992,57.40994644165039,,9.986289020523525e-06,0.17053666710853577
25,3.8694183826446533,3.8694183826446533,47.4988899230957,,9.984629372538055e-06,0.17424027621746063
26,4.169793128967285,4.169793128967285,64.13909912109375,,9.98287508745748e-06,0.17478033900260925
27,4.126530647277832,4.126530647277832,61.405113220214844,,9.981026198588276e-06,0.18074724078178406
28,3.85565447807312,3.85565447807312,46.86826705932617,,9.979082741033047e-06,0.16627110540866852
29,4.1141862869262695,4.1141862869262695,60.704803466796875,,9.977044751689858e-06,0.16326650977134705
30,4.149176120758057,4.149176120758057,62.83555221557617,,9.974912269251534e-06,0.17309889197349548
31,3.964007616043091,3.964007616043091,52.243412017822266,,9.972685334204926e-06,0.16187766194343567
32,3.7391459941864014,3.7391459941864014,41.70722961425781,,9.970363988830138e-06,0.16942888498306274
33,3.6400680541992188,3.6400680541992188,37.78203582763672,,9.967948277199736e-06,0.16468434035778046
34,4.529294013977051,4.529294013977051,91.95277404785156,,9.965438245177895e-06,0.16037960350513458
35,3.6023335456848145,3.6023335456848145,36.38359832763672,,9.96283394041954e-06,0.16430962085723877
36,3.3538899421691895,3.3538899421691895,28.374204635620117,,9.960135412369441e-06,0.16819016635417938
37,3.6993844509124756,3.6993844509124756,40.11629104614258,,9.957342712261263e-06,0.1520417332649231
38,3.8749794960021973,3.8749794960021973,47.80226516723633,,9.95445589311661e-06,0.15812715888023376
39,3.5405051708221436,3.5405051708221436,34.22039031982422,,9.951475009744006e-06,0.15367071330547333
