_step,train/loss/stt_tpn_loss_scaled,train/loss/stt_tpn_loss_unscaled,train/loss/stt_causal_router_loss_unscaled
1,0.007800562772899866,0.15601125359535217,0.7305657267570496
2,0.007926740683615208,0.15853480994701385,0.7371015548706055
3,0.007847770117223263,0.15695539116859436,0.7268287539482117
4,0.007668965961784124,0.15337932109832764,0.7280645370483398
5,0.007319652941077948,0.1463930606842041,0.729388415813446
6,0.007390123791992664,0.147802472114563,0.730324923992157
7,0.0071325707249343395,0.14265140891075134,0.7340638637542725
8,0.007101390045136213,0.14202779531478882,0.7341172695159912
9,0.006943825166672468,0.13887649774551392,0.7357487082481384
10,0.006843221373856068,0.13686442375183105,0.737146258354187
11,0.007003273349255323,0.14006546139717102,0.7464783191680908
12,0.006937086582183838,0.13874173164367676,0.7443046569824219
13,0.00659677991643548,0.13193559646606445,0.7575950026512146
14,0.00638917600736022,0.12778352200984955,0.7630248069763184
15,0.006301991641521454,0.12603983283042908,0.7586922645568848
16,0.006170222070068121,0.12340444326400757,0.7586208581924438
17,0.005929289851337671,0.11858579516410828,0.766898512840271
18,0.005804059095680714,0.11608117818832397,0.7545526027679443
19,0.005389070603996515,0.10778141021728516,0.7643282413482666
20,0.005093807820230722,0.1018761545419693,0.7688466906547546
21,0.004783906042575836,0.09567812085151672,0.7762240767478943
22,0.004318460822105408,0.08636921644210815,0.7715327143669128
23,0.004259455017745495,0.0851890966296196,0.7846226692199707
24,0.003841415513306856,0.07682830840349197,0.808807373046875
25,0.0034547005780041218,0.06909400969743729,0.8218560218811035
26,0.003788038855418563,0.07576077431440353,0.8236586451530457
27,0.0031516090966761112,0.06303218007087708,0.826059103012085
28,0.0030977933201938868,0.06195586547255516,0.8590027689933777
29,0.0027098997961729765,0.054197993129491806,0.8646032214164734
30,0.0026817917823791504,0.05363583564758301,0.870433509349823
31,0.0027758327778428793,0.05551665276288986,0.8744522929191589
32,0.0028966281097382307,0.05793256312608719,0.8788386583328247
33,0.003291536821052432,0.06583073735237122,0.9014731645584106
34,0.002311164513230324,0.046223290264606476,0.9094599485397339
35,0.0026019674260169268,0.05203934758901596,0.8995329141616821
36,0.0030620961915701628,0.06124192476272583,0.9043712615966797
37,0.002609929535537958,0.052198588848114014,0.9155158996582031
38,0.0028780510183423758,0.05756101757287979,0.8939089179039001
39,0.0024955314584076405,0.04991062730550766,0.9248999357223511
40,0.0024469438940286636,0.04893887788057327,0.9178830981254578
41,0.0023638897109776735,0.047277793288230896,0.9292632937431335
42,0.0027021251153200865,0.054042499512434006,0.924433171749115
43,0.0028235726058483124,0.05647145211696625,0.9345417022705078
44,0.0023696483112871647,0.047392964363098145,0.9337422251701355
45,0.00222101341933012,0.0444202683866024,0.9244815707206726
46,0.0023446923587471247,0.04689384624361992,0.9106954336166382
47,0.0023467137943953276,0.046934276819229126,0.9328333139419556
48,0.0023911476600915194,0.04782295227050781,0.9104494452476501
49,0.0022636253852397203,0.04527250677347183,0.9184626340866089
50,0.0022706424351781607,0.04541284963488579,0.9228582382202148
51,0.0023193068336695433,0.04638613387942314,0.8982023596763611
52,0.002516827080398798,0.05033653974533081,0.8926305770874023
53,0.0023376706521958113,0.0467534139752388,0.9093279838562012
54,0.0023928445298224688,0.0478568896651268,0.9216579794883728
55,0.0028156295884400606,0.05631259083747864,0.8864742517471313
56,0.0023408010601997375,0.04681602120399475,0.9057561159133911
57,0.002175354165956378,0.043507084250450134,0.8908014297485352
58,0.002337588695809245,0.04675177484750748,0.883807361125946
59,0.0023050380405038595,0.04610075801610947,0.9013956785202026
60,0.0021803155541419983,0.043606311082839966,0.8832494616508484
61,0.0026904491242021322,0.05380897969007492,0.872801661491394
62,0.0022635289933532476,0.04527057707309723,0.8904523849487305
63,0.002179952571168542,0.043599050492048264,0.8829536437988281
64,0.0021438617259263992,0.042877234518527985,0.8851067423820496
65,0.0021935272961854935,0.04387054592370987,0.888927161693573
66,0.0023136427626013756,0.04627285525202751,0.8896713256835938
